No.,Time,Destination,Protocol,Length,Info,attack
1,0,193.0.14.129,DNS,70,Standard query 0xdc87 NS <Root> OPT,FALSE
2,1.00E-05,192.5.5.241,DNS,70,Standard query 0xd267 NS <Root> OPT,FALSE
3,1.40E-05,192.58.128.30,DNS,70,Standard query 0xedce NS <Root> OPT,TRUE
4,0.116002,200.19.107.238,DNS,75,Standard query 0x0824 A etihadguest.com,FALSE
5,0.11777,200.19.107.238,DNS,73,Standard query 0x4567 ANY sl OPT,FALSE
6,0.117828,200.19.107.238,DNS,1139,Standard query response 0xedce NS <Root> NS a.root-servers.net NS b.root-servers.net NS c.root-servers.net NS d.root-servers.net NS e.root-servers.net NS f.root-servers.net NS g.root-servers.net NS h.root-servers.net NS i.root-servers.net NS j.root-servers.net NS k.root-servers.net NS l.root-servers.net NS m.root-servers.net RRSIG A 198.41.0.4 A 199.9.14.201 A 192.33.4.12 A 199.7.91.13 A 192.203.230.10 A 192.5.5.241 A 192.112.36.4 A 198.97.190.53 A 192.36.148.17 A 192.58.128.30 A 193.0.14.129 A 199.7.83.42 A 202.12.27.33 AAAA 2001:503:ba3e::2:30 AAAA 2001:500:200::b AAAA 2001:500:2::c AAAA 2001:500:2d::d AAAA 2001:500:a8::e AAAA 2001:500:2f::f AAAA 2001:500:12::d0d AAAA 2001:500:1::53 AAAA 2001:7fe::53 AAAA 2001:503:c27::2:30 AAAA 2001:7fd::1 AAAA 2001:500:9f::42 AAAA 2001:dc3::35 OPT,FALSE
7,0.117936,200.19.107.238,DNS,1139,Standard query response 0xd267 NS <Root> NS m.root-servers.net NS b.root-servers.net NS c.root-servers.net NS d.root-servers.net NS e.root-servers.net NS f.root-servers.net NS g.root-servers.net NS h.root-servers.net NS a.root-servers.net NS i.root-servers.net NS j.root-servers.net NS k.root-servers.net NS l.root-servers.net RRSIG A 202.12.27.33 AAAA 2001:dc3::35 A 199.9.14.201 AAAA 2001:500:200::b A 192.33.4.12 AAAA 2001:500:2::c A 199.7.91.13 AAAA 2001:500:2d::d A 192.203.230.10 AAAA 2001:500:a8::e A 192.5.5.241 AAAA 2001:500:2f::f A 192.112.36.4 AAAA 2001:500:12::d0d A 198.97.190.53 AAAA 2001:500:1::53 A 198.41.0.4 AAAA 2001:503:ba3e::2:30 A 192.36.148.17 AAAA 2001:7fe::53 A 192.58.128.30 AAAA 2001:503:c27::2:30 A 193.0.14.129 AAAA 2001:7fd::1 A 199.7.83.42 AAAA 2001:500:9f::42 OPT,FALSE
8,0.119296,199.9.14.201,DNS,92,Standard query 0x5252 AAAA dnsresearch.cymru.com OPT,TRUE
9,0.119925,199.9.14.201,DNS,83,Standard query 0x151a AAAA a.st1.ntp.br OPT,TRUE
10,0.121094,199.9.14.201,DNS,92,Standard query 0x8aa3 AAAA dnsresearch.cymru.com OPT,TRUE
11,0.121388,199.9.14.201,DNS,83,Standard query 0xa36f A a.st1.ntp.br OPT,TRUE
12,0.13138,200.19.107.238,DNS,1151,Standard query response 0xdc87 NS <Root> NS e.root-servers.net NS i.root-servers.net NS g.root-servers.net NS c.root-servers.net NS f.root-servers.net NS b.root-servers.net NS a.root-servers.net NS d.root-servers.net NS l.root-servers.net NS m.root-servers.net NS h.root-servers.net NS j.root-servers.net NS k.root-servers.net RRSIG A 202.12.27.33 A 199.7.83.42 A 193.0.14.129 A 192.58.128.30 A 192.36.148.17 A 198.97.190.53 A 192.112.36.4 A 192.5.5.241 A 192.203.230.10 A 199.7.91.13 A 192.33.4.12 A 199.9.14.201 A 198.41.0.4 AAAA 2001:dc3::35 AAAA 2001:500:9f::42 AAAA 2001:7fd::1 AAAA 2001:503:c27::2:30 AAAA 2001:7fe::53 AAAA 2001:500:1::53 AAAA 2001:500:12::d0d AAAA 2001:500:2f::f AAAA 2001:500:a8::e AAAA 2001:500:2d::d AAAA 2001:500:2::c AAAA 2001:500:200::b AAAA 2001:503:ba3e::2:30 OPT,FALSE
13,0.132844,199.9.14.201,DNS,83,Standard query 0xac8d AAAA a.st1.ntp.br OPT,TRUE
14,0.133132,199.9.14.201,DNS,92,Standard query 0x3393 AAAA dnsresearch.cymru.com OPT,TRUE
15,0.133514,199.9.14.201,DNS,86,Standard query 0x0386 A etihadguest.com OPT,TRUE
